student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,Risk_Category
S204,21,BCA,6,8.24,78.6,81.0,5,6.9,6,8,5,6,5,77.0,81.4,64.9,70.4,55.0,68.5,Blue
S205,18,BCA,1,2.08,18.8,15.4,8,3.4,2,2,10,3,2,1.2,19.3,26.8,10.2,25.0,20.8,Red
S206,23,MBA,2,2.44,51.9,35.5,9,3.6,2,2,9,1,1,25.5,32.1,24.5,18.1,10.0,21.9,Red
S207,22,B.Sc,8,5.84,72.0,56.1,7,5.9,6,4,8,6,5,56.5,60.7,55.1,37.3,55.0,53.2,Yellow
S208,24,MBA,5,4.2,51.2,13.4,8,4.8,1,1,8,1,1,25.2,38.1,28.0,16.0,10.0,24.1,Red
S209,20,B.Tech,4,8.84,91.7,97.3,2,8.6,8,8,3,9,10,98.9,90.8,86.0,80.8,95.0,88.6,Green
S210,25,MBA,6,4.41,48.7,30.8,10,4.1,3,2,9,3,3,11.3,42.4,27.4,15.3,30.0,30.1,Red
S211,20,BCA,4,9.4,90.4,90.5,1,8.6,9,9,3,8,8,90.1,92.6,93.0,84.0,80.0,87.8,Green
S212,20,B.Sc,5,5.97,64.1,60.4,7,6.9,6,4,5,3,4,53.8,60.7,58.9,45.8,35.0,50.8,Yellow
S213,18,B.Tech,1,9.63,93.0,97.2,3,7.6,9,10,1,8,10,91.5,95.8,85.5,95.3,90.0,91.7,Green
S214,21,B.Sc,6,5.62,62.8,68.3,6,5.6,5,5,5,6,4,58.0,59.9,53.0,51.6,50.0,54.0,Yellow
S215,18,B.Tech,1,9.17,99.1,93.3,3,8.3,10,10,1,9,9,88.3,93.5,91.0,94.7,90.0,92.2,Green
S216,26,MBA,8,9.46,92.1,91.3,4,7.2,8,9,3,9,8,87.7,93.4,77.0,83.5,85.0,85.2,Green
S217,24,MBA,5,9.78,98.9,98.0,4,8.4,10,9,3,9,9,90.9,98.1,88.0,84.2,90.0,90.8,Green
S218,22,B.Tech,8,2.19,46.6,31.3,9,4.1,4,2,9,1,3,12.2,28.7,34.4,15.4,20.0,25.3,Red
S219,26,MBA,8,8.86,90.8,94.0,2,7.3,9,9,3,10,8,96.6,90.1,87.4,85.3,90.0,88.4,Green
S220,19,B.Sc,3,6.22,73.0,53.6,9,6.2,4,4,6,6,4,44.4,62.6,42.2,40.9,50.0,50.0,Yellow
S221,22,MBA,1,10.0,97.2,95.7,3,8.1,10,8,1,9,8,92.2,98.6,91.0,85.4,85.0,90.7,Green
S222,22,B.Tech,8,5.36,66.4,54.4,6,5.3,4,5,7,6,5,57.1,56.3,47.9,45.4,55.0,51.7,Yellow
S223,25,MBA,6,5.61,65.0,64.1,9,5.9,5,3,5,5,4,51.3,59.5,45.1,40.3,45.0,48.4,Yellow
S224,21,BCA,7,8.96,94.4,93.7,2,8.4,10,10,3,10,8,94.7,91.4,94.0,89.9,90.0,91.4,Green
S225,18,B.Tech,1,8.19,86.7,72.3,6,7.5,8,7,3,7,6,72.6,80.9,72.1,70.5,65.0,72.6,Blue
S226,20,BCA,4,8.24,77.6,74.8,4,7.8,8,8,4,6,7,74.3,79.9,79.2,72.9,65.0,74.6,Blue
S227,18,BCA,1,8.89,90.9,91.3,1,7.1,9,10,1,8,8,96.0,89.8,89.6,96.2,80.0,88.6,Green
S228,20,B.Tech,4,6.7,67.5,61.4,9,5.5,5,3,6,6,4,46.2,66.0,43.6,36.2,50.0,50.4,Yellow
S229,21,BCA,7,5.92,66.5,65.0,8,6.2,4,3,8,5,4,44.5,61.8,45.2,29.9,45.0,47.1,Yellow
S230,21,B.Sc,6,7.9,86.0,87.1,5,7.8,6,8,4,7,5,66.2,82.0,68.2,71.2,60.0,70.9,Blue
S231,18,B.Tech,1,5.23,63.5,52.2,8,6.7,5,3,8,5,5,56.3,54.5,51.1,32.3,50.0,48.1,Yellow
S232,19,B.Sc,2,6.35,62.5,57.7,8,6.6,6,5,7,6,4,49.0,62.1,54.8,43.8,50.0,53.6,Yellow
S233,21,BCA,6,6.4,70.2,68.1,6,5.9,5,5,5,6,4,54.1,66.1,54.1,50.8,50.0,56.0,Yellow
S234,22,B.Tech,8,7.06,75.9,85.1,4,6.8,6,6,4,8,7,74.3,74.6,67.5,62.9,75.0,70.6,Blue
S235,25,MBA,6,7.45,89.2,77.5,3,7.0,7,8,6,7,5,70.5,78.0,75.2,66.1,60.0,70.4,Blue
S236,20,B.Tech,4,8.81,91.8,96.7,1,8.2,8,10,1,9,8,99.0,90.6,89.0,96.8,85.0,90.0,Green
S237,20,B.Sc,5,9.94,99.3,96.6,4,8.5,10,8,2,8,10,95.0,98.8,88.0,83.0,90.0,90.7,Green
S238,23,MBA,3,9.57,91.8,94.4,3,7.4,8,9,2,8,8,96.9,94.7,80.8,88.4,80.0,86.3,Green
S239,24,MBA,5,5.65,68.0,63.9,7,5.0,5,4,8,4,4,54.5,60.3,47.8,36.9,40.0,47.4,Yellow
S240,22,BCA,8,7.67,77.2,89.5,4,7.3,7,7,5,8,5,81.2,79.4,73.4,66.2,65.0,71.7,Blue
S241,20,BCA,5,9.74,98.8,94.5,4,7.1,10,8,2,10,9,85.9,97.1,84.6,81.2,95.0,90.3,Green
S242,26,MBA,8,9.31,95.0,93.7,2,7.9,9,8,3,9,8,93.6,93.6,89.6,79.7,85.0,87.7,Green
S243,25,MBA,7,9.25,94.4,95.1,2,8.3,9,8,3,9,10,94.2,93.4,90.0,79.8,95.0,90.2,Green
S244,20,BCA,5,5.49,69.1,69.0,7,5.6,6,5,8,5,4,43.1,60.6,54.0,39.6,45.0,50.8,Yellow
S245,21,BCA,7,8.12,78.3,72.6,4,7.0,8,8,5,7,5,69.6,78.9,76.2,68.9,60.0,71.5,Blue
S246,19,B.Sc,2,8.01,89.0,75.0,3,7.6,7,8,3,5,7,77.4,80.9,77.5,76.5,60.0,73.9,Blue
S247,25,MBA,6,8.88,98.5,97.7,4,8.1,8,10,2,10,9,91.0,92.5,80.0,92.2,95.0,89.9,Green
S248,20,B.Sc,5,8.01,85.8,84.2,5,6.8,6,7,6,6,6,67.8,82.1,64.5,60.6,60.0,67.9,Blue
S249,19,B.Tech,3,7.31,82.7,81.8,4,7.4,7,7,3,8,5,68.3,76.8,73.8,69.7,65.0,71.7,Blue
S250,18,B.Tech,1,7.67,75.5,75.0,5,6.1,8,6,5,8,5,68.5,76.1,69.9,58.7,65.0,68.3,Blue
S251,21,B.Sc,6,6.1,71.4,55.8,8,6.1,4,3,6,6,5,47.9,62.0,44.9,36.6,55.0,50.9,Yellow
S252,24,MBA,5,6.67,61.1,65.5,6,6.0,5,3,6,4,5,49.1,65.3,54.5,36.8,45.0,51.8,Yellow
S253,19,B.Tech,3,8.07,78.4,85.9,5,7.7,6,8,4,7,5,73.6,81.3,67.9,72.7,60.0,70.9,Blue
S254,26,MBA,8,8.93,92.9,93.4,1,7.7,9,9,2,8,8,98.0,90.8,91.9,88.6,80.0,87.9,Green
S255,21,B.Tech,6,8.99,97.6,99.9,3,8.7,8,9,3,10,8,95.5,93.4,83.0,85.1,90.0,88.3,Green
S256,18,B.Sc,1,6.03,67.5,57.9,7,6.1,5,5,7,3,3,40.2,61.3,51.9,42.0,30.0,47.3,Yellow
S257,23,MBA,2,7.84,75.5,74.5,4,7.9,6,8,3,5,6,68.8,77.0,71.6,74.8,55.0,69.7,Blue
S258,23,MBA,3,7.7,82.7,80.6,4,6.7,6,7,4,7,6,78.5,78.9,67.1,68.7,65.0,70.4,Blue
S259,23,MBA,2,8.93,97.2,97.4,2,8.2,8,8,2,10,9,96.7,92.5,86.0,83.3,95.0,89.7,Green
S260,24,MBA,4,7.81,80.5,75.7,5,7.6,7,8,5,5,6,63.2,78.1,71.5,67.6,55.0,68.6,Blue
S261,25,MBA,6,6.77,62.5,68.6,6,5.4,4,3,5,3,3,48.1,66.8,48.2,39.6,30.0,47.5,Yellow
S262,19,B.Tech,2,7.49,81.9,82.1,6,7.6,6,8,5,6,6,68.2,77.7,64.5,68.6,60.0,68.2,Blue
S263,21,B.Sc,6,9.74,95.0,94.7,3,8.1,10,10,2,9,8,99.0,96.4,91.0,93.8,85.0,91.7,Green
S264,24,MBA,5,5.29,60.0,56.9,7,5.9,5,4,7,4,3,58.7,55.1,51.1,40.7,35.0,46.2,Yellow
S265,19,B.Sc,3,9.37,95.2,97.5,4,7.3,8,10,1,8,10,94.7,94.8,77.4,95.9,90.0,89.5,Green
S266,22,BCA,8,9.6,98.5,99.9,4,7.4,9,10,1,8,9,91.0,97.3,81.8,95.2,85.0,89.9,Green
S267,19,BCA,3,6.27,71.3,53.5,8,6.8,6,3,5,6,4,40.2,62.6,55.5,38.0,50.0,52.8,Yellow
S268,21,B.Tech,6,8.59,99.0,92.0,4,8.0,9,10,3,9,9,97.9,89.7,84.0,90.6,90.0,88.5,Green
S269,22,B.Sc,8,5.86,63.8,58.0,7,6.9,5,5,6,5,5,57.5,59.5,54.9,48.5,50.0,53.8,Yellow
S270,25,MBA,7,8.64,90.7,92.4,2,7.6,8,10,1,8,9,94.7,88.5,84.5,95.9,85.0,88.1,Green
S271,25,MBA,6,5.77,67.1,58.0,9,6.3,6,5,6,6,3,59.6,59.6,50.6,48.9,45.0,51.6,Yellow
S272,19,BCA,2,6.21,69.4,52.4,8,5.5,4,5,8,3,5,57.1,61.6,42.6,42.4,40.0,47.6,Yellow
S273,21,B.Tech,7,8.19,80.1,78.7,5,6.5,6,6,4,5,5,60.8,80.9,63.4,60.2,50.0,64.7,Blue
S274,19,BCA,3,9.41,94.8,91.0,3,8.1,8,8,1,8,8,86.8,93.6,83.0,84.4,80.0,85.7,Green
S275,21,B.Tech,6,9.23,94.0,97.1,1,8.4,8,10,3,9,10,94.2,93.6,89.0,89.8,95.0,92.0,Green
S276,18,B.Tech,1,6.5,69.6,64.2,6,5.9,5,3,8,4,4,40.5,65.8,54.1,29.1,40.0,49.1,Yellow
S277,24,MBA,4,7.24,80.6,75.6,6,6.9,8,6,5,8,6,75.7,74.7,69.9,60.1,70.0,69.4,Blue
S278,22,B.Sc,8,7.07,87.9,72.6,5,6.9,7,8,6,7,7,73.3,74.5,68.9,66.7,70.0,70.4,Blue
S279,23,MBA,2,5.76,73.6,57.2,8,7.0,4,5,6,5,4,59.8,60.7,48.2,49.0,45.0,51.3,Yellow
S280,23,MBA,3,8.68,93.8,97.2,2,7.2,10,10,2,10,8,94.9,90.3,91.0,93.0,90.0,90.9,Green
S281,20,BCA,4,9.84,98.0,97.1,1,8.3,10,9,1,10,8,86.3,98.1,97.0,89.3,90.0,94.0,Green
S282,20,BCA,4,9.51,98.9,94.7,3,7.9,9,8,2,8,8,89.5,95.8,86.6,81.9,80.0,86.8,Green
S283,23,MBA,2,6.51,63.1,50.4,7,6.2,5,4,8,5,4,47.0,61.8,52.2,35.4,45.0,49.9,Yellow
S284,20,BCA,4,9.59,98.7,94.4,1,8.8,9,8,2,9,10,98.8,96.2,93.0,83.8,95.0,92.6,Green
S285,21,B.Tech,7,7.84,86.5,80.6,6,6.2,8,7,3,6,7,82.1,80.5,67.2,72.4,65.0,71.7,Blue
S286,18,BCA,1,7.56,84.6,77.4,5,6.3,8,7,6,5,6,61.3,77.8,70.6,59.3,55.0,66.6,Blue
S287,26,MBA,8,8.48,94.1,97.9,1,7.4,10,8,2,8,8,88.5,89.3,94.8,81.7,80.0,86.8,Green
S288,19,B.Sc,2,6.75,62.6,65.1,7,6.3,5,4,7,3,4,48.0,66.0,52.6,38.6,35.0,49.4,Yellow
S289,21,B.Tech,6,5.73,60.2,59.1,7,6.1,4,3,6,5,3,40.6,58.2,47.9,35.1,40.0,46.5,Yellow
S290,19,BCA,3,6.48,65.5,50.6,8,7.0,4,4,8,5,5,52.0,62.1,48.2,36.4,50.0,50.5,Yellow
S291,21,B.Tech,7,7.26,87.3,87.7,6,6.9,6,6,4,7,5,71.2,78.6,61.9,62.2,60.0,66.5,Blue
S292,20,B.Sc,5,4.99,65.1,50.3,9,5.5,4,3,7,6,4,44.4,53.0,39.6,32.9,50.0,44.9,Yellow
S293,21,B.Sc,6,5.15,61.5,60.1,8,5.6,6,5,8,3,4,59.4,55.2,51.0,42.9,35.0,46.6,Yellow
S294,19,BCA,2,7.08,76.0,77.8,6,6.5,8,8,3,8,5,71.9,73.2,68.4,75.4,65.0,70.4,Blue
S295,20,B.Sc,5,8.41,76.4,82.8,5,6.4,7,8,5,5,6,70.8,82.3,67.0,69.2,55.0,69.0,Blue
S296,24,MBA,5,9.2,98.2,100.0,3,7.5,9,9,1,9,10,93.1,94.8,85.1,90.6,95.0,91.6,Green
S297,24,MBA,4,8.98,95.1,93.9,4,8.1,9,8,1,10,9,86.3,91.7,84.0,84.3,95.0,89.1,Green
S298,21,B.Sc,7,5.86,63.4,59.9,6,6.4,6,3,5,3,5,44.2,59.8,60.0,38.8,40.0,50.7,Yellow
S299,19,BCA,3,7.41,77.8,76.0,5,7.7,8,8,5,8,6,80.6,75.2,75.9,71.1,70.0,73.3,Blue
S300,21,BCA,7,7.4,82.9,79.1,5,7.4,8,6,4,7,5,83.6,76.8,74.8,64.7,60.0,69.7,Blue
S301,22,MBA,1,8.2,89.0,85.3,5,7.1,6,7,5,8,6,63.2,84.1,65.6,62.6,70.0,71.6,Blue
S302,22,MBA,1,8.32,78.5,73.1,3,7.5,6,6,6,6,7,71.7,80.2,73.1,56.3,65.0,69.8,Blue
S303,22,MBA,1,8.6,88.3,86.5,3,7.4,7,8,3,8,6,79.4,86.6,76.8,76.9,70.0,78.1,Blue
S304,26,MBA,8,9.48,95.8,92.4,4,8.1,10,9,1,10,8,85.9,94.5,88.0,89.2,90.0,90.7,Green
S305,20,B.Tech,4,6.99,73.6,55.0,9,5.8,6,5,5,6,4,54.8,67.7,48.8,51.0,50.0,55.2,Yellow
S306,19,B.Tech,2,7.37,77.2,80.1,6,7.8,6,7,6,7,5,66.8,75.7,65.2,60.4,60.0,66.1,Blue
S307,21,BCA,6,7.21,84.0,83.5,3,7.4,6,6,5,6,5,67.6,76.8,72.8,58.5,55.0,66.7,Blue
S308,26,MBA,8,5.1,66.1,56.9,8,6.3,5,5,6,3,3,53.5,55.2,49.6,47.7,30.0,46.0,Yellow
S309,20,B.Sc,4,6.4,64.1,67.7,8,5.8,4,4,5,6,4,41.5,64.8,43.8,43.3,50.0,51.6,Yellow
S310,20,B.Sc,4,6.5,62.8,59.1,6,7.0,6,5,6,6,4,59.4,63.4,62.2,48.9,50.0,56.8,Yellow
S311,21,B.Sc,6,10.0,99.6,95.5,2,8.9,9,8,3,10,10,92.1,99.0,90.0,79.4,100.0,93.1,Green
S312,19,B.Tech,2,5.08,64.9,61.9,7,6.6,5,4,6,6,4,55.9,55.8,53.8,43.2,50.0,51.3,Yellow
S313,20,B.Tech,4,9.18,90.3,97.6,4,7.8,10,8,2,10,10,99.4,92.7,87.2,83.9,100.0,91.4,Green
S314,22,B.Sc,8,7.1,86.9,84.8,6,6.4,8,7,4,6,6,75.4,76.9,68.0,68.1,60.0,68.7,Blue
S315,20,B.Tech,5,9.18,94.5,96.3,4,8.6,10,10,3,10,8,86.9,93.2,88.0,88.4,90.0,90.1,Green
S316,21,B.Sc,6,6.04,65.2,62.5,6,6.7,5,4,6,4,3,57.4,61.8,57.1,43.5,35.0,50.3,Yellow
S317,20,BCA,5,7.03,89.6,86.3,3,7.4,8,7,3,5,7,82.8,77.4,80.8,72.6,60.0,72.9,Blue
S318,20,B.Tech,4,7.8,75.4,78.3,4,6.0,7,8,3,5,5,78.9,77.5,68.5,76.8,50.0,68.2,Blue
S319,18,BCA,1,7.58,88.9,89.9,4,6.9,8,7,6,5,5,75.1,81.2,75.9,62.0,50.0,68.2,Blue
S320,22,MBA,1,9.57,94.5,98.1,4,8.7,9,9,1,9,10,98.9,95.9,84.0,91.8,95.0,91.9,Green
S321,24,MBA,5,9.32,98.7,94.5,2,7.6,8,10,3,8,8,88.2,94.6,84.5,88.6,80.0,87.2,Green
S322,18,BCA,1,8.77,90.2,94.5,2,7.1,8,9,1,10,9,88.4,89.6,82.6,89.7,95.0,89.2,Green
S323,20,B.Sc,5,7.89,75.6,79.2,3,6.8,8,7,3,6,7,82.9,78.3,78.5,72.6,65.0,73.9,Blue
S324,18,B.Sc,1,7.85,83.3,72.7,5,7.4,7,8,4,5,5,74.8,78.3,70.8,73.0,50.0,68.3,Blue
S325,19,BCA,2,5.83,61.6,57.7,9,5.8,6,4,7,3,3,42.5,58.8,48.8,37.5,30.0,44.8,Yellow
S326,23,MBA,2,7.97,77.0,83.6,4,6.4,7,8,3,8,6,62.4,79.9,70.0,73.5,70.0,73.7,Blue
S327,23,MBA,2,5.73,65.5,65.7,8,6.5,6,3,8,3,4,42.2,60.6,54.4,29.4,35.0,46.4,Yellow
S328,21,B.Sc,6,8.28,77.9,75.5,5,6.6,6,6,5,8,6,60.1,80.4,63.8,57.0,70.0,69.0,Blue
S329,22,B.Sc,8,8.59,97.6,91.3,1,7.6,10,8,3,8,9,98.4,89.3,95.5,80.7,85.0,88.1,Green
S330,20,B.Tech,5,5.25,72.4,68.9,9,5.2,5,5,5,4,4,45.6,59.8,42.5,49.1,40.0,48.4,Yellow
S331,19,B.Tech,2,9.16,93.8,97.7,2,7.8,9,8,3,10,10,92.9,93.3,89.2,79.6,100.0,91.2,Green
S332,23,MBA,2,7.44,87.5,86.9,6,6.7,7,6,4,8,5,66.6,79.5,65.1,61.3,65.0,68.6,Blue
S333,20,B.Sc,5,7.87,79.1,89.5,6,6.4,8,7,5,5,6,80.9,80.9,68.0,66.2,55.0,68.3,Blue
S334,18,B.Sc,1,7.83,82.4,76.1,4,6.4,8,6,5,8,6,68.5,78.7,74.0,58.7,70.0,71.4,Blue
S335,18,B.Tech,1,6.45,64.9,69.7,9,5.5,4,5,7,6,3,54.8,65.6,39.6,45.0,45.0,49.8,Yellow
S336,20,BCA,4,6.5,66.1,57.5,7,6.4,5,4,6,4,5,45.1,63.7,53.0,41.0,45.0,51.8,Yellow
S337,21,B.Tech,6,6.98,87.0,72.5,3,7.7,7,7,4,6,6,69.6,73.8,77.9,66.9,60.0,70.0,Blue
S338,21,B.Tech,6,9.28,97.5,94.0,2,9.0,9,8,3,10,9,88.1,94.0,90.0,78.6,95.0,90.2,Green
S339,20,B.Sc,5,8.25,89.6,72.2,6,6.1,6,7,6,7,6,63.6,81.9,58.9,59.7,65.0,67.5,Blue
S340,22,B.Sc,8,5.74,61.5,65.4,8,5.5,5,5,5,4,4,45.7,59.8,46.6,49.1,40.0,49.4,Yellow
S341,19,BCA,3,6.12,68.6,56.0,6,5.8,6,3,6,6,5,41.8,61.6,57.8,35.4,55.0,53.8,Yellow
S342,20,BCA,5,8.33,79.4,80.5,4,6.6,7,6,4,8,6,60.2,82.0,70.8,60.0,70.0,71.8,Blue
S343,23,MBA,3,7.62,77.6,75.4,5,6.5,7,7,6,8,7,75.3,76.3,67.4,62.1,75.0,70.9,Blue
S344,18,BCA,1,7.7,76.9,81.6,3,6.2,8,8,4,8,6,74.5,77.9,76.2,72.9,70.0,74.5,Blue
S345,19,B.Sc,3,6.97,85.9,70.7,6,7.4,7,6,5,6,5,66.8,73.1,67.8,58.4,55.0,64.3,Blue
S346,20,B.Tech,5,6.11,62.6,51.1,9,5.4,6,3,7,6,5,50.6,59.4,47.2,34.1,55.0,50.2,Yellow
S347,25,MBA,7,5.24,66.1,58.7,9,6.1,4,3,6,4,5,52.6,56.4,41.9,37.5,45.0,46.1,Yellow
S348,20,B.Tech,4,9.09,96.2,91.3,1,7.3,10,8,1,8,10,91.9,92.0,94.4,85.4,90.0,90.8,Green
S349,25,MBA,7,5.98,64.6,60.6,6,5.4,4,3,8,4,5,43.8,60.9,48.2,29.8,45.0,47.5,Yellow
S350,21,B.Tech,7,9.27,91.2,98.6,2,8.5,9,10,2,9,8,89.8,93.6,90.0,92.0,85.0,90.2,Green
S351,20,B.Sc,5,6.66,72.7,63.3,9,6.6,4,5,7,3,5,42.4,67.2,43.8,42.5,40.0,49.6,Yellow
S352,24,MBA,5,8.38,82.5,77.8,5,7.0,8,6,3,5,6,81.2,82.3,73.2,67.2,55.0,70.2,Blue
S353,22,B.Tech,8,6.62,71.2,52.3,9,6.3,5,4,6,6,3,45.3,64.4,46.6,41.1,45.0,50.4,Yellow
S354,18,BCA,1,7.13,80.3,76.6,4,6.7,7,8,4,6,7,74.3,74.2,71.1,72.9,65.0,70.9,Blue
S355,20,B.Sc,5,8.91,99.7,96.4,4,8.1,10,8,3,10,10,98.3,92.7,88.0,80.7,100.0,91.0,Green
S356,20,B.Tech,4,6.78,67.2,66.4,7,6.0,4,5,5,4,5,40.1,67.4,47.5,48.0,45.0,52.9,Yellow
S357,22,MBA,1,8.13,89.6,78.7,4,6.5,8,7,4,8,7,62.6,82.4,74.4,65.5,75.0,75.2,Blue
S358,24,MBA,5,9.02,91.5,96.8,2,7.6,9,10,2,9,8,87.4,91.8,88.5,91.5,85.0,89.2,Green
S359,23,MBA,2,5.29,60.9,60.5,7,5.3,4,3,5,4,5,52.3,56.0,44.9,40.5,45.0,47.4,Yellow
S360,19,B.Tech,2,6.89,61.1,57.5,7,5.4,4,4,6,3,5,58.3,65.1,45.2,43.7,40.0,49.6,Yellow
S361,24,MBA,4,6.27,63.7,57.8,8,6.3,6,4,6,4,4,56.5,61.9,53.6,43.3,40.0,50.6,Yellow
S362,21,B.Tech,6,7.78,81.9,82.9,4,6.4,8,8,4,7,6,74.1,79.6,74.0,72.8,65.0,73.2,Blue
S363,20,BCA,5,6.29,70.0,64.8,7,6.5,6,3,8,3,4,41.6,64.7,57.4,29.3,35.0,48.4,Yellow
S364,19,B.Sc,3,5.97,61.4,60.1,9,5.8,5,4,7,3,3,52.3,60.1,44.8,39.5,30.0,44.6,Yellow
S365,18,BCA,1,9.1,98.6,95.1,3,7.2,9,8,1,9,8,95.9,93.3,84.0,86.2,85.0,87.5,Green
S366,21,B.Sc,6,8.36,79.2,76.0,6,7.9,8,6,6,8,5,64.4,81.2,73.6,54.9,65.0,70.0,Blue
S367,24,MBA,5,6.25,62.5,59.6,8,5.6,5,4,7,3,4,58.5,61.9,47.0,40.7,35.0,47.2,Yellow
S368,20,B.Tech,4,8.06,80.7,88.1,5,6.8,8,8,6,8,5,62.6,82.1,72.5,64.5,65.0,71.9,Blue
S369,19,B.Tech,2,4.91,63.4,61.2,9,6.4,6,3,6,6,5,41.2,54.4,51.0,35.2,55.0,49.9,Yellow
S370,19,B.Sc,2,8.62,84.1,73.3,4,7.1,8,7,6,8,6,79.9,83.2,76.6,63.0,70.0,74.2,Blue
S371,18,B.Tech,1,7.23,87.9,86.5,4,7.2,8,8,5,5,6,65.1,78.3,77.0,68.0,55.0,70.1,Blue
S372,19,B.Tech,2,6.51,67.8,52.3,6,7.0,6,4,5,6,5,60.0,63.1,62.2,47.0,55.0,57.6,Yellow
S373,19,B.Sc,3,5.77,60.3,54.5,9,6.6,5,3,7,5,4,55.8,57.6,47.8,35.2,45.0,47.5,Yellow
S374,20,B.Sc,4,9.01,99.4,90.9,1,7.9,9,9,3,9,8,92.4,92.1,92.6,84.5,85.0,88.9,Green
S375,23,MBA,3,6.16,66.6,57.3,8,7.0,6,5,5,5,4,47.7,61.7,56.2,49.5,45.0,53.7,Yellow
S376,22,B.Tech,8,5.74,68.1,64.1,9,6.9,4,5,7,4,4,54.3,60.9,44.9,44.9,40.0,48.5,Yellow
S377,18,B.Tech,1,7.7,75.1,88.0,6,6.1,6,7,6,6,6,75.4,78.8,58.9,62.1,60.0,65.8,Blue
S378,19,B.Sc,2,8.35,87.0,88.4,3,7.6,6,7,4,8,5,83.7,85.2,73.5,69.7,65.0,74.1,Blue
S379,18,B.Sc,1,5.5,61.3,51.9,8,6.0,4,5,8,4,3,52.9,55.6,44.5,41.6,35.0,44.9,Yellow
S380,22,MBA,1,5.87,66.2,63.5,9,5.2,4,3,7,5,5,44.9,61.2,38.5,33.0,50.0,47.1,Yellow
S381,21,B.Sc,6,7.59,88.5,85.2,4,7.3,6,7,4,8,6,83.2,80.3,69.4,69.6,70.0,72.9,Blue
S382,26,MBA,8,5.17,63.0,60.1,7,6.3,4,3,7,6,4,57.8,55.6,48.6,35.6,50.0,48.4,Yellow
S383,20,B.Sc,5,6.82,62.7,51.8,6,6.0,5,5,7,5,5,43.1,63.8,54.5,42.6,50.0,53.8,Yellow
S384,20,B.Sc,5,7.7,77.6,78.9,3,8.0,8,7,4,7,7,60.6,77.5,83.0,65.1,70.0,74.5,Blue
S385,21,B.Tech,6,6.02,74.6,65.5,8,6.2,6,5,7,6,3,53.6,64.1,53.2,44.7,45.0,52.7,Yellow
S386,20,BCA,5,6.45,72.6,57.1,7,5.4,6,4,6,6,5,48.9,64.6,53.2,41.8,55.0,54.8,Yellow
S387,23,MBA,3,7.12,66.4,65.9,6,6.7,5,3,8,5,3,44.4,69.2,57.1,29.9,40.0,51.0,Yellow
S388,18,BCA,1,7.7,83.9,82.1,6,7.5,6,8,5,8,7,79.8,79.4,64.1,71.0,75.0,72.8,Blue
S389,19,B.Sc,3,5.6,68.2,69.4,8,5.8,4,4,5,6,4,55.8,61.1,43.8,46.2,50.0,51.0,Yellow
S390,19,B.Tech,3,5.79,71.8,60.4,6,5.5,5,5,5,6,4,59.3,61.2,52.6,51.9,50.0,54.4,Yellow
S391,23,MBA,3,5.24,74.8,53.0,9,5.4,5,4,5,6,4,56.8,57.0,43.2,46.4,50.0,49.7,Yellow
S392,21,BCA,7,8.11,82.2,77.6,3,7.9,8,8,6,7,6,85.0,80.6,82.6,69.0,65.0,74.9,Blue
S393,25,MBA,6,8.0,84.6,88.9,3,6.3,7,6,6,5,7,67.2,82.7,72.6,55.4,60.0,69.0,Blue
S394,21,BCA,6,7.71,84.7,84.8,4,6.8,8,7,6,8,5,66.6,80.2,75.5,60.3,65.0,71.2,Blue
S395,22,MBA,1,6.38,60.6,53.5,7,5.9,4,5,8,6,5,44.6,61.1,47.1,39.9,55.0,51.8,Yellow
S396,19,BCA,2,8.23,80.9,86.9,6,7.6,8,7,3,8,7,61.6,82.9,72.5,68.3,75.0,75.4,Blue
S397,21,B.Tech,6,6.64,74.1,59.7,7,6.1,4,5,5,3,3,42.4,66.6,47.9,48.5,30.0,49.2,Yellow
S398,18,BCA,1,7.27,81.0,89.1,5,6.1,6,7,5,7,7,78.8,77.6,61.9,65.8,70.0,69.4,Blue
S399,20,B.Sc,5,5.65,67.5,63.2,8,5.4,5,3,6,6,3,58.2,60.0,46.2,38.6,45.0,48.5,Yellow
S400,18,B.Tech,1,7.16,77.8,76.0,4,7.1,8,8,5,8,5,63.8,73.7,76.6,67.8,65.0,71.1,Blue
S401,26,MBA,8,5.95,62.1,63.1,6,6.6,5,4,7,3,3,46.8,60.7,56.8,38.4,30.0,47.6,Yellow
S402,25,MBA,7,7.97,85.7,75.4,6,6.7,6,8,4,7,7,84.8,80.0,61.1,75.0,70.0,71.8,Blue
S403,26,MBA,8,6.07,60.9,67.2,6,5.1,5,5,6,3,4,58.6,62.0,51.1,48.7,35.0,49.9,Yellow
S404,19,B.Sc,2,6.32,70.7,69.9,8,5.2,6,4,8,5,3,50.4,66.0,49.5,36.1,40.0,49.4,Yellow
S405,23,MBA,3,8.42,86.8,73.1,3,6.9,6,7,6,8,7,75.5,82.5,70.9,62.1,75.0,73.6,Blue
S406,19,BCA,3,7.43,76.1,73.2,6,6.6,8,6,3,6,7,72.0,74.4,68.8,65.4,65.0,68.8,Blue
S407,24,MBA,5,6.96,68.4,63.8,8,5.7,5,3,7,6,4,47.5,68.2,47.4,33.5,50.0,51.5,Yellow
